id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,PM2.5,10,45,28,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,PM10,28,76,49,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,NO2,7,19,13,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,NH3,1,2,1,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,SO2,2,27,17,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,CO,14,33,26,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2019 01:00:00,OZONE,5,42,20,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,PM2.5,19,71,37,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,PM10,41,100,57,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,NO2,8,38,20,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,NH3,2,6,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,SO2,6,18,12,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,CO,33,122,51,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-03-2019 01:00:00,OZONE,22,85,43,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,PM2.5,10,69,32,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,PM10,17,116,57,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,NO2,20,120,64,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,NH3,5,7,6,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,SO2,1,12,3,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,CO,1,35,20,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",26-03-2019 01:00:00,OZONE,43,119,65,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26-03-2019 01:00:00,PM10,NA,NA,NA,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26-03-2019 01:00:00,NO2,NA,NA,NA,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26-03-2019 01:00:00,NH3,NA,NA,NA,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26-03-2019 01:00:00,SO2,NA,NA,NA,NA
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-03-2019 01:00:00,PM2.5,NA,NA,NA,NA
