id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,PM2.5,22,65,40,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,PM10,39,97,55,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,NO2,7,33,17,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,NH3,1,2,1,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,SO2,3,29,13,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,CO,18,41,29,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-03-2019 01:00:00,OZONE,6,71,22,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,PM2.5,19,65,38,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,PM10,29,122,55,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,NO2,6,29,15,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,NH3,2,5,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,SO2,6,12,8,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,CO,18,60,43,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-03-2019 01:00:00,OZONE,16,59,43,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,PM2.5,18,72,39,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,PM10,20,95,59,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,NO2,9,129,60,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,NH3,5,7,6,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,SO2,1,12,5,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,CO,10,36,27,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",23-03-2019 01:00:00,OZONE,31,100,52,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23-03-2019 01:00:00,PM2.5,18,62,35,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23-03-2019 01:00:00,PM10,28,94,53,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23-03-2019 01:00:00,NO2,9,18,13,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23-03-2019 01:00:00,NH3,1,2,1,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",23-03-2019 01:00:00,SO2,5,12,8,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-03-2019 01:00:00,PM2.5,19,96,61,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-03-2019 01:00:00,PM10,58,178,106,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-03-2019 01:00:00,NO2,24,74,54,NA
30,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-03-2019 01:00:00,NH3,2,3,2,NA
31,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",23-03-2019 01:00:00,SO2,6,110,34,NA
