id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,PM2.5,27,48,39,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,PM10,43,122,63,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,NO2,7,41,17,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,NH3,1,2,1,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,SO2,5,19,11,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,CO,12,36,25,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-03-2019 01:00:00,OZONE,7,82,25,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,PM2.5,25,53,36,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,PM10,40,79,53,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,NO2,5,21,13,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,NH3,2,6,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,SO2,4,8,6,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,CO,32,122,48,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-03-2019 01:00:00,OZONE,24,82,45,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",24-03-2019 01:00:00,PM2.5,27,75,53,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",24-03-2019 01:00:00,PM10,43,102,73,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",24-03-2019 01:00:00,NO2,16,124,61,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",24-03-2019 01:00:00,NH3,5,8,6,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",24-03-2019 01:00:00,SO2,3,14,7,NA
