id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,PM2.5,43,132,64,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,PM10,62,121,86,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,NO2,4,41,19,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,NH3,2,4,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,SO2,1,15,10,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,CO,14,70,23,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",18-03-2019 04:00:00,OZONE,2,57,13,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,PM2.5,34,66,49,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,PM10,57,128,78,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,NO2,8,33,18,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,NH3,3,4,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,SO2,5,13,9,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,CO,23,52,41,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",18-03-2019 04:00:00,OZONE,20,82,25,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,PM2.5,NA,NA,NA,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,PM10,NA,NA,NA,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,NO2,NA,NA,NA,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,NH3,NA,NA,NA,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,SO2,NA,NA,NA,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,CO,NA,NA,NA,NA
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",18-03-2019 04:00:00,OZONE,NA,NA,NA,NA
22,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18-03-2019 04:00:00,PM2.5,NA,NA,NA,NA
23,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18-03-2019 04:00:00,PM10,NA,NA,NA,NA
24,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18-03-2019 04:00:00,NO2,NA,NA,NA,NA
25,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18-03-2019 04:00:00,NH3,NA,NA,NA,NA
26,India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",18-03-2019 04:00:00,SO2,NA,NA,NA,NA
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,PM2.5,29,104,57,NA
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,PM10,66,143,99,NA
29,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,NO2,14,98,45,NA
30,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,NH3,2,5,3,NA
31,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,SO2,4,84,17,NA
32,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,CO,19,58,38,NA
33,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",18-03-2019 04:00:00,OZONE,1,42,5,NA
34,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,PM2.5,68,392,246,NA
35,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,PM10,100,400,189,NA
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,NO2,11,86,36,NA
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,NH3,4,7,6,NA
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,SO2,18,45,30,NA
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,CO,24,112,90,NA
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",18-03-2019 04:00:00,OZONE,9,87,13,NA
41,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-03-2019 04:00:00,PM2.5,NA,NA,NA,NA
42,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-03-2019 04:00:00,NO2,NA,NA,NA,NA
43,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-03-2019 04:00:00,SO2,NA,NA,NA,NA
44,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-03-2019 04:00:00,CO,NA,NA,NA,NA
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",18-03-2019 04:00:00,OZONE,NA,NA,NA,NA
46,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-03-2019 04:00:00,PM2.5,NA,NA,NA,NA
47,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-03-2019 04:00:00,NO2,NA,NA,NA,NA
48,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-03-2019 04:00:00,SO2,NA,NA,NA,NA
49,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-03-2019 04:00:00,CO,NA,NA,NA,NA
50,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",18-03-2019 04:00:00,OZONE,NA,NA,NA,NA
51,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-03-2019 04:00:00,PM2.5,32,269,137,NA
52,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-03-2019 04:00:00,NO2,68,202,132,NA
53,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-03-2019 04:00:00,SO2,48,52,50,NA
54,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-03-2019 04:00:00,CO,29,85,57,NA
55,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",18-03-2019 04:00:00,OZONE,21,263,45,NA
56,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,PM2.5,47,355,185,NA
57,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,PM10,56,257,151,NA
58,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,NO2,43,127,79,NA
59,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,NH3,4,8,6,NA
60,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,SO2,29,74,44,NA
61,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,CO,15,50,41,NA
62,India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-03-2019 04:00:00,OZONE,2,97,10,NA
63,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,PM2.5,70,386,204,NA
64,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,PM10,116,328,196,NA
65,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,NO2,84,127,113,NA
66,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,NH3,6,12,8,NA
67,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,SO2,13,44,20,NA
68,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,CO,40,179,110,NA
69,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-03-2019 04:00:00,OZONE,4,53,8,NA
70,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,PM2.5,48,395,216,NA
71,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,PM10,103,251,165,NA
72,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,NO2,26,162,81,NA
73,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,NH3,5,9,7,NA
74,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,SO2,19,77,40,NA
75,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,CO,35,101,85,NA
76,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-03-2019 04:00:00,OZONE,1,132,8,NA
77,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-03-2019 04:00:00,PM2.5,11,302,111,NA
78,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-03-2019 04:00:00,PM10,50,191,111,NA
79,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-03-2019 04:00:00,NO2,26,32,30,NA
80,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-03-2019 04:00:00,CO,8,14,11,NA
81,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-03-2019 04:00:00,OZONE,32,62,37,NA
82,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,PM2.5,57,417,231,NA
83,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,NO2,5,83,32,NA
84,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,NH3,5,9,7,NA
85,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,SO2,14,66,25,NA
86,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,CO,7,102,50,NA
87,India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-03-2019 04:00:00,OZONE,2,115,33,NA
88,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-03-2019 04:00:00,PM2.5,6,372,163,NA
89,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-03-2019 04:00:00,PM10,75,248,132,NA
90,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-03-2019 04:00:00,NO2,32,86,62,NA
91,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-03-2019 04:00:00,CO,1,22,16,NA
92,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-03-2019 04:00:00,OZONE,66,88,72,NA
93,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-03-2019 04:00:00,PM2.5,79,349,191,NA
94,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-03-2019 04:00:00,PM10,101,219,142,NA
95,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-03-2019 04:00:00,NO2,25,31,28,NA
96,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-03-2019 04:00:00,CO,27,108,82,NA
97,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-03-2019 04:00:00,OZONE,21,51,28,NA
98,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,PM2.5,50,412,216,NA
99,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,PM10,74,377,182,NA
100,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,NO2,24,48,34,NA
101,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,NH3,5,8,6,NA
102,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,SO2,10,41,17,NA
103,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,CO,18,74,45,NA
104,India,Delhi,Delhi,"DTU, Delhi - CPCB",18-03-2019 04:00:00,OZONE,9,101,21,NA
105,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-03-2019 04:00:00,PM2.5,33,371,152,NA
106,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-03-2019 04:00:00,PM10,68,261,141,NA
107,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-03-2019 04:00:00,NO2,22,116,61,NA
108,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-03-2019 04:00:00,NH3,4,13,7,NA
